Title,Company Name,Experience (yrs),Location,Salary,Job Description,Skills,Date Posted
Vue JS,virtusa consulting services pvt. ltd.,4 - 5,Chennai,,"Vue JS - CREQ191772DescriptionAngular with React Responsibilities:3  years Experience with Angular Vue5 years of experience in HTML ,  CSS ,  and writing cross-browser compati","angular vue   ,   html css   ,   javascript bootstrap   ,   spring mvc   ,   restful services   ,  aop  ,  maven  ,  software requirements  ,  jstl  ,  security  ,  apache  ,  soap",Posted a month ago
Vue JS,virtusa consulting services pvt. ltd.,3 - 5,"Chennai,  null",,"Vue JS - CREQ191771DescriptionAngular with React Responsibilities:3  years Experience with Angular Vue5 years of experience in HTML ,  CSS ,  and writing cross-browser compati","**  angular   ,   vuejs   ,   html css   ,   javascript   ,   javaspring **  ,  aop  ,  maven  ,  bootstrap  ,  software requirements  ,  jstl  ,  security  ,  apache  ,  spring mvc  ,  soap",Posted a month ago
Vue JS,virtusa consulting services pvt. ltd.,3 - 6,Chennai,,"Vue JS - CREQ191758DescriptionAngular with React Responsibilities:3  years Experience with Angular Vue5 years of experience in HTML ,  CSS ,  and writing cross-browser compati","angular   ,   html  ,   css   ,   javascript   ,   bootstrap   ,   javaserver pages   ,  aop  ,  maven  ,  software requirements  ,  jstl  ,  spring  ,  security  ,  apache  ,  spring mvc  ,  soap",Posted a month ago
Frontend Developer  ( Vue JS ),greenhonchos pvt ltd,0 - 3,Noida/Greater Noida,,Job Responsibilities:Developing user-facing applications using Vue.jsBuilding modular and reusable components and librariesOptimizing your application for performanceImplement,"JavaScript  ,  Vue.js space  ,  automated testing",Posted 6 days ago
Hiring For Vue JS Developer,krazy mantra hr solutions,1 - 9,"Coimbatore,  Chennai,  Pune",,"Hiring For Vue JS DeveloperVue JS DeveloperDesired ProfileSkills: Vue.js with TypeScript ,  CSS / SCSS ,  NPM ,  Webpack or Vite ,  Mobile Responsive Design ,  Github Actions","vue  ,  js with typescript   ,   css  /  scss   ,   npm   ,   webpack or vite   ,   mobile responsive design   ,  spring boot  ,  github  ,  java  ,  rest api  ,  maven  ,  splunk  ,  sql",Posted 2 days ago
Vue JS Developer,virtusa consulting services pvt. ltd.,5 - 10,Chennai,,"# Vue JS Developer - CREQ191263## Description- At least 5 yrs experience on UI development using Vue JS ,  CSS- Chennai  /  2nd preference is Pune. Core team sits in Chennai h","ui development   ,   vue js   ,   css   ,   javascript development   ,   graphic design   ,  contractor  ,  designing",Posted few days ago
AEM / VUE Developer,IBM India Pvt Ltd,3 - 5,Mexico,,"# ## IntroductionAs an Application Developer ,  you will lead IBM into the future by translating system requirements into the design and development of customized systems in a","javascript proficiency    ,   vue  ,  js framework    ,   adobe experience manager    ,   html and css    ,   restful apis    ,  cli  ,  technical leader  ,  html5  ,  mx  ,  software developer",Posted few days ago
Java Vue Js Developer,virtusa consulting services pvt. ltd.,3 - 5,,,#  Java Vue Js Developer - CREQ187044## Description**Responsibilities:**- Collaborate with cross-functional teams to gather and analyze software requirements.- Design and deve,"java se    ,   jee    ,   spring    ,   spring boot   ,   vue js   ,  aop  ,  software requirements  ,  unix scripting  ,  security  ,  apache  ,  git  ,  spring mvc  ,  java enterprise edition  ,  junit  ,  oracle  ,  maven  ,  java developer  ,  jstl  ,  ooad  ,  jse  ,  soap",Posted a month ago
Vue.js Developer,destiny hr group services,0 - 3,Noida/Greater Noida,,"Job Responsibilities:Experience in developing the website using vue.jsMust have knowledge of JavaScript ,  CSS ,  and JQuery.Good knowledge of HTML 5Knowledge of CMS  ( like W","css  ,  wordpress  ,  joomla  ,  php  ,  html  ,  javascript  ,  jquery",Posted few days ago
Vue js Developer,CONNECTING 2 WORK,2 - 7,Thiruvananthapuram,,Job Description We are looking for an expert JavaScript developer who is highly skilled with Vue.js. Your primary focus will be developing user-facing web applications and com,"cli  ,  html5  ,  javascript  ,  javascript developer  ,  security  ,  git",Posted few days ago
Senior Vue.js Engineer,virtusa consulting services pvt. ltd.,4 - 6,Sri Lanka,,###  Senior Vue.js Engineer - CREQ192672- Minimum of 4 years of hands-on experience in frontend development.  - 3  years of experience with Vue.js 3 or latest ReactjQuery UIin,"vuejs   ,   typescript   ,   javascript   ,   html   ,   nosql database   ,  html5  ,  git  ,  api",Posted few days ago
Vue Js Developer,virtusa consulting services pvt. ltd.,2 - 6,,,##  Vue Js Developer - CREQ188281### Description- Overall 5 years software development experience- Minimum 2 years of experience in the following skills:  - Hands-on developme,"vuejs development   ,   jquery ui   ,   typescript   ,   nosql database   ,   git source control   ,  team player  ,  bootstrap  ,  javascript  ,  debugging  ,  html",Posted a month ago
